Year,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,England,Wales,Scotland,Great Britain
1994 Q4,864.263,2775.773,1963.154,1851.795,2481.425,2601.128,2623.343,3845.352,2393.719,21399.952,1200.86,1881.907,25231.451
1995 Q4,870.863,2805.839,1970.901,1861.814,2526.336,2645.789,2605.061,3875.55,2406.026,21568.179,1208.122,1898.182,25369.353
1996 Q4,903.688,2929.273,2031.48,1930.007,2613.555,2741.49,2688.556,4033.886,2535.402,22407.337,1264.827,1973.078,26301.921
1997 Q4,924.539,3040.506,2087.697,1989.619,2725.51,2833.437,2699.241,4178.199,2596.1,23074.848,1301.783,2028.26,26973.79
1998 Q4,951.942,3117.448,2133.222,2070.789,2742.452,2899.824,2735.482,4316.661,2682.126,23649.946,1336.719,2077.89,27538.415
1999 Q4,976.569,3171.922,2195.983,2123.35,2785.649,2980.364,2778.056,4452.306,2776.873,24241.072,1379.554,2135.802,28367.56
2000 Q4,1005.538,3249.751,2256.775,2208.476,2871.785,3072.775,2796.14,4571.829,2867.057,24900.126,1380.014,2193.514,28897.58
2001 Q4,1034.791,3325.351,2286.41,2273.71,2973.68,3154.511,2846.122,4691.684,2947.818,25534.077,1433.138,2262.764,29747.13
2002 Q4,1070.958,3386.51,2371.381,2349.488,3083.693,3223.61,2857.477,4812.527,3014.148,26169.792,1496.828,2330.375,30556.672
2003 Q4,1104.274,3469.818,2430.065,2401.62,3163.223,3253.53,2868.152,4899.877,3063.843,26654.402,1547.378,2383.11,31207.359
2004 Q4,1149.901,3613.023,2529.203,2455.241,3239.949,3314.461,2920.912,5028.427,3145.778,27396.895,1616.913,2448.642,32258.856
2005 Q4,1182.836,3715.69,2596.757,2534.789,3296.26,3381.267,2967.794,5152.907,3198.383,28026.683,1663.895,2531.939,32897.383
2006 Q4,1189.026,3760.494,2605.575,2543.263,3255.111,3392.395,2969.344,5187.401,3215.869,28118.478,1680.235,2564.296,33070.484
2007 Q4,1211.136,3799.628,2664.764,2595.45,3323.786,3446.968,2997.818,5270.773,3274.307,28584.63,1711.322,2626.975,33650.981
2008 Q3,1234.806,3839.608,2717.854,2646.912,3369.679,3496.735,3030.726,5363.689,3335.828,29035.837,1733.789,2677.212,34104.93
2008 Q4,1229.36,3814.218,2704.47,2630.499,3349.309,3476.914,3016.085,5336.694,3317.76,28875.309,1723.415,2665.186,33883.382
2009 Q1,1230.957,3803.725,2694.98,2624.451,3295.045,3479.003,2977.775,5397.775,3352.629,28856.34,1722.032,2670.391,33974.092
2009 Q2,1234.962,3805.099,2705.572,2649.743,3317.335,3501.368,2985.199,5412.529,3371.613,28983.42,1732.442,2686.83,34119.611
2009 Q3,1235.277,3779.17,2708.959,2647.722,3336.604,3510.509,2980.486,5417.506,3374.115,28990.348,1732.807,2691.415,34131.097
2009 Q4,1229.128,3758.951,2700.205,2632.812,3324.887,3500.401,2968.033,5408.659,3364.752,28887.828,1727.02,2683.899,33958.43
2010 Q1,1225.881,3747.1,2693.917,2638.6,3313.601,3498.347,2965.765,5415.474,3366.004,28864.689,1724.033,2681.316,34007.534
2010 Q2,1236.776,3726.656,2716.786,2669.145,3356.813,3533.152,2986.816,5476.864,3408.504,29111.512,1739.431,2704.514,34291.961
2010 Q3,1239.175,3686.737,2723.623,2671.092,3390.891,3546.401,2988.144,5503.693,3432.593,29182.349,1745.344,2714.633,34399.663
2010 Q4,1226.096,3642.767,2699.811,2645.894,3354.235,3522.682,2967.334,5470.822,3413.118,28942.759,1732.977,2684.714,34120.148
2011 Q1,1229.372,3604.932,2710.55,2659.949,3421.652,3537.01,2971.079,5491.237,3429.869,29055.65,1738.058,2691.138,34235.285
2011 Q2,1234.16,3593.421,2726.966,2695.02,3478.24,3565.8,2981.369,5510.151,3455.648,29240.775,1749.939,2711.594,34431.394
2011 Q3,1252.663,3580.405,2729.202,2685.646,3484.106,3572.312,2968.175,5514.414,3464.329,29251.252,1753.784,2712.625,34472.287
2011 Q4,1261.308,3553.495,2707.87,2663.307,3444.925,3547.958,2942.671,5481.363,3466.31,29069.207,1742.377,2690.907,34228.594
2012 Q1,1265.2,3558.293,2711.796,2671.785,3445.708,3556.943,2942.609,5509.53,3479.21,29141.074,1746.162,2704.052,34347.241
2012 Q2,1270.182,3572.357,2734.103,2704.688,3459.23,3584.667,2951.965,5562.254,3508.035,29347.481,1760.401,2725.201,34590.882
2012 Q3,1275.771,3587.77,2744.87,2718.675,3470.737,3607.558,2953.956,5593.809,3534.84,29487.986,1769.911,2741.114,34722.476
2012 Q4,1264.901,3559.825,2720.021,2688.701,3439.593,3582.757,2933.668,5572.34,3513.031,29274.837,1757.008,2717.113,34522.322
2013 Q1,1264.848,3566.054,2724.714,2702.301,3435.853,3590.958,2935.1,5600.086,3524.426,29344.34,1758.281,2726.925,34635.371
2013 Q2,1279.829,3604.449,2762.951,2756.058,3478.184,3637.449,2961.726,5680.661,3575.868,29737.175,1780.163,2767.081,35042.025
2013 Q3,1286.197,3619.246,2747.537,2763.619,3450.693,3741.04,2966.349,5702.461,3600.005,29877.147,1789.398,2784.015,35210.723
2013 Q4,1276.58,3599.405,2721.265,2739.404,3423.1,3727.101,2951.941,5675.39,3578.117,29692.303,1774.455,2759.237,35034.487
2014 Q1,1286.766,3621.992,2742.027,2758.428,3455.799,3755.863,2970.47,5718.929,3603.273,29913.547,1784.623,2782.412,35297.33
2014 Q2,1303.663,3664.515,2780.379,2812.645,3502.042,3812.168,3005.388,5804.228,3665.288,30350.316,1809.976,2822.31,35821.435
2014 Q3,1314.897,3691.947,2804.36,2827.291,3535.503,3845.61,3023.548,5850.763,3701.491,30595.41,1824.665,2849.225,36161.405
2014 Q4,1305.172,3665.482,2776.534,2799.494,3509.967,3821.727,2997.234,5811.366,3674.419,30361.395,1807.284,2821.36,35633.107
2015 Q1,1310.066,3684.485,2789.486,2816.862,3541.82,3851.337,3016.242,5847.527,3696.703,30554.528,1812.038,2837.781,35810.463
2015 Q2,1323.768,3718.37,2826.454,2863.716,3571.185,3902.738,3046.146,5946.105,3750.11,30948.592,1832.51,2867.641,36250.038
2015 Q3,1330.075,3739.26,2845.656,2875.201,3597.003,3933.468,3058.338,5978.437,3784.712,31142.15,1842.939,2884.716,36529.702
2015 Q4,1322.79,3725.527,2830.92,2859.218,3589.672,3926.561,3052.247,5963.983,3776.428,31047.346,1835.728,2862.757,36467.487
2016 Q1,1334.149,3759.088,2862.485,2887.111,3636.821,3968.958,3075.044,6036.53,3811.483,31371.669,1849.526,2893.121,36717.982
2016 Q2,1342.794,3781.353,2902.862,2914.237,3670.815,4007.016,3090.33,6102.32,3827.904,31639.631,1864.865,2913.306,37109.522
2016 Q3,1348.751,3772.417,2916.598,2921.169,3696.782,4032.75,3094.788,6134.689,3882.502,31800.446,1873.943,2928.32,37368.088
2016 Q4,1343.324,3768.914,2907.734,2915.696,3698.592,4024.709,3091.393,6131.527,3881.116,31763.005,1868.265,2918.851,37256.803
2017 Q1,1349.412,3787.946,2927.607,2935.254,3736.272,4044.65,3097.666,6157.979,3927.662,31964.448,1876.523,2938.495,37517.702
2017 Q2,1360.824,3814.746,2956.62,2977.601,3768.056,4074.218,3107.626,6210.352,3961.047,32231.09,1892.107,2966.505,37812.291
2017 Q3,1367.989,3836.841,2977.188,2983.713,3789.962,4089.833,3105.771,6226.568,3985.635,32363.5,1901.906,2985.946,37990.186
2017 Q4,1359.597,3817.835,2957.499,2958.046,3763.839,4059.86,3082.43,6188.201,3965.864,32153.171,1891.111,2961.599,37734.992
2018 Q1,1366.8,3828.581,2974.589,2967.534,3769.865,4063.181,3079.335,6218.816,3982.769,32251.47,1895.736,2964.422,37891.147
2018 Q2,1381.079,3862.501,3008.321,3009.862,3799.417,4089.833,3094.957,6283.323,4019.79,32549.083,1916.107,2992.647,38198.124
2018 Q3,1386.476,3887.916,3030.085,3019.121,3810.607,4090.231,3089.482,6308.829,4058.628,32681.375,1926.724,3008.054,38368.141
2018 Q4,1378.749,3878.989,3018.583,3001.795,3783.514,4069.748,3070.082,6278.49,4050.081,32530.031,1919.442,2990.713,38184.027
2019 Q1,1385.804,3902.583,3043.293,3025.344,3767.618,4090.541,3073.569,6312.55,4109.583,32710.885,1929.505,3007.824,38404.134
2019 Q2,1398.048,3933.418,3077.205,3067.738,3779.555,4121.958,3082.755,6363.323,4151.849,32975.849,1948.0,3040.097,38700.01
2019 Q3,1408.312,3960.509,3100.665,3079.075,3791.061,4142.554,3079.504,6378.949,4180.874,33121.503,1962.829,3058.566,38881.171
2019 Q4,1400.695,3945.755,3082.635,3057.718,3762.782,4121.333,3060.988,6344.376,4165.394,32941.676,1956.305,3040.779,38682.719
2020 Q1,1404.639,3951.642,3090.94,3054.717,3766.741,4127.175,3051.391,6334.505,4169.217,32950.967,1956.335,3046.724,38331.819
2020 Q2,1393.764,3912.72,3068.214,3028.608,3752.821,4091.936,3016.348,6263.5,4107.922,32635.833,1930.627,3007.636,38357.052
2020 Q3,1415.685,4260.21,3107.461,3071.444,3523.411,4142.863,3055.447,6338.333,4165.687,33080.541,1966.703,3054.007,38836.463
2020 Q4,1410.337,4233.241,3087.834,3053.041,3499.685,4121.772,3041.133,6320.282,4138.482,32905.807,1962.294,3042.335,38581.794
2021 Q1,1412.919,4224.657,3093.387,3060.22,3497.789,4117.362,3024.89,6305.32,4140.811,32877.355,1962.81,3044.352,38646.939
2021 Q2,1436.448,4265.439,3142.416,3117.014,3555.162,4180.456,3043.58,6398.409,4211.97,33350.894,1996.799,3087.772,39208.896
